Facility_Type,Facility_Number,Facility_Name,Licensee,Facility_Administrator,Facility_Telephone Number,Facility_Address,Facility_City,Facility_State,Facility_Zip,County_Name,Regional_Office,Facility_Capacity,Facility_Status,License_First_Date,Closed_Date
RESIDENTIAL CARE ELDERLY,397005614,SHEPHERD HOMES 1,"ESPIRITU, INC",JERMANE GUERZO,(209) 478-2545,5956 GLEN STREET,STOCKTON,CA,95207,SAN JOAQUIN,27,15,LICENSED,11/2/2015,
RESIDENTIAL CARE ELDERLY,397005616,SHEPHERD HOMES 2,"ESPIRITU, INC.",JERMANE GUERZO,(209) 478-2170,5964 GLEN STREET,STOCKTON,CA,95207,SAN JOAQUIN,27,15,LICENSED,11/2/2015,
RESIDENTIAL CARE ELDERLY,336403188,SHEPHERD WATCH ELDERLY CARE HOME,"DAVIS, BARBARA S.","DAVIS, BARBARA",(951) 849-6289,3180 W. GEORGE ST.,BANNING,CA,92220,RIVERSIDE,18,4,LICENSED,12/3/1999,
RESIDENTIAL CARE ELDERLY,306004676,SHERCON GUEST HOMES,SHERCON HOMES CORPORATION,CONSOLACION LUMAUIG,(714) 815-9214,13432 GALWAY STREET,GARDEN GROVE,CA,92844,ORANGE,22,6,LICENSED,10/10/2014,
RESIDENTIAL CARE ELDERLY,197604331,SHERMAN OAKS GARDENS II,SHERMAN OAKS GARDENS INC.,RITA SHER,(818) 438-4045,14329 ALBERS ST.,SHERMAN OAKS,CA,91401,LOS ANGELES,31,6,LICENSED,5/16/2003,
RESIDENTIAL CARE ELDERLY,157208826,SHERWOOD ELDERLY CARE FACILITY,"BARAJAS, JUDITH","BARAJAS, JUDITH",(661) 220-6647,2204 SHERWOOD AVE,BAKERSFIELD,CA,93304,KERN,24,6,LICENSED,12/8/2017,
RESIDENTIAL CARE ELDERLY,507002679,SHERWOOD FOREST MANOR 2,EB & J ALICANTE CORPORATION,RONALDO DATO,(209) 577-1247,601 E. RUMBLE ROAD,MODESTO,CA,95350,STANISLAUS,27,6,LICENSED,11/1/2006,
RESIDENTIAL CARE ELDERLY,157208246,SHERWOOD RCFE,GAIL ELLEN MARTIN,"MARTIN, GAIL E",(805) 796-0623,2204 SHERWOOD AVE,BAKERSFIELD,CA,93304,KERN,24,6,CLOSED,,7/26/2017
RESIDENTIAL CARE ELDERLY,496803426,SHILOH GREEN MANOR,"VILMA'S L.R., LLC.",JOY LIGAYA ORTEGA,(707) 838-8368,7760 FOPPIANO WAY,WINDSOR,CA,95492,SONOMA,21,6,CLOSED,12/12/2013,9/25/2017
RESIDENTIAL CARE ELDERLY,496803695,SHILOH GREEN MANOR,LIGAYA S ORTEGA,"ORTEGA, LIGAYA S",(707) 837-5133,7760 FOPPIANO WAY,WINDSOR,CA,95492,SONOMA,21,6,LICENSED,9/25/2017,
RESIDENTIAL CARE ELDERLY,496803900,SHILOH GREEN MANOR II,SHILOH GREEN HOMES LLC,"ORTEGA, LIGAYA",(707) 837-5761,1182 VINTAGE GREENS DRIVE,WINDSOR,CA,95492,SONOMA,21,6,PENDING,,
RESIDENTIAL CARE ELDERLY,374603333,SHINE PLACE,"ICARI, LECIA & MARIO",LECIA ICARI,(619) 255-6397,336 WINEWOOD STREET,SAN DIEGO,CA,92114,SAN DIEGO,8,6,LICENSED,4/30/2013,
RESIDENTIAL CARE ELDERLY,306005306,SHINING BRIGHT SENIOR CARE HOME,SHINING BRIGHT SENIOR CARE HOME INC,"BULLER, KATHRINA P/GARRY",(714) 749-9353,9232 MARCHAND AVENUE,GARDEN GROVE,CA,92841,ORANGE,22,6,LICENSED,6/28/2017,
RESIDENTIAL CARE ELDERLY,107203982,"SHINING LIGHT RCFE, THE","GW QUALITY LIVING, INC.","GALVEZ, DELIA",(559) 449-0410,2749 W. SAN CARLOS AVENUE,FRESNO,CA,93711,FRESNO,24,6,LICENSED,7/5/2007,
RESIDENTIAL CARE ELDERLY,306004666,SHINKLE COTTAGE,PREMIER COTTAGES INC,MICHELLE KELLOGG,(818) 606-6136,14631 SHINKLE CIR,HUNTINGTON BEACH,CA,92647,ORANGE,22,6,LICENSED,5/5/2014,
RESIDENTIAL CARE ELDERLY,312700046,SHOCKLEY WOODS LOVING HEARTS,"MAGUREAN, TATIANA","MAGUREAN, TATIANA",(916) 844-4330,12719 SHOCKLEY WOODS CT,AUBURN,CA,95603,PLACER,27,6,LICENSED,5/18/2017,
RESIDENTIAL CARE ELDERLY,197609764,SIANT CLAIR ASSISTED LIVING,SAINT CLAIR ASSISTED LIVING,TBD,(323) 793-8228,6608 ST CLAIR AVE,NORTH HOLLYWOOD,CA,91606,LOS ANGELES,31,6,CLOSED,,1/16/2019
RESIDENTIAL CARE ELDERLY,342700273,SIDNEY HOME CARE,RAISA OSELSKY,"OSELSKY, RAISA",(916) 765-2952,7332 SIDNEY DRIVE,CITRUS HEIGHTS,CA,95610,SACRAMENTO,27,6,LICENSED,10/8/2018,
RESIDENTIAL CARE ELDERLY,347004958,SIEBENTHAL CARE HOME,ROBERT & ERMELINDA SIEBENTHAL,"SIEBENTHAL, ERMELINDA",(916) 689-3595,7948 HUNTS RUN WAY,SACRAMENTO,CA,95828,SACRAMENTO,27,6,LICENSED,3/29/2013,
RESIDENTIAL CARE ELDERLY,374601074,SIENA HOME,"RIEGEL, NATIVIDAD B.","CONUI, MARIBEL S.",(619) 267-4974,223 SOUTH SIENA STREET,SAN DIEGO,CA,92114,SAN DIEGO,8,6,LICENSED,6/7/2001,
RESIDENTIAL CARE ELDERLY,374600919,SIENA HOME CARE,"REAL, NORBERTA",DESIREE ARENAS,(619) 472-5912,415 S. SIENA STREET,SAN DIEGO,CA,92114,SAN DIEGO,8,6,LICENSED,3/27/2000,
RESIDENTIAL CARE ELDERLY,374604103,SIENNA AT OTAY RANCH SENIOR LIVING,S-H OTAY RANCH OPCO; MILESTONE RET COMMUNITIES LLC,"VILLACIS, RONALD",(619) 550-4521,1290 SANTA ROSA DR,CHULA VISTA,CA,91913,SAN DIEGO,8,137,LICENSED,11/8/2018,
RESIDENTIAL CARE ELDERLY,197608058,SIERRA BONITA BOARD & CARE FOR THE ELDERLY,"SIERRA BONITA BOARD & CARE, INC.",GULNAZ KVELADZE,(323) 651-5685,822 NORTH LAUREL AVENUE,LOS ANGELES,CA,90046,LOS ANGELES,31,6,CLOSED,4/12/2011,4/7/2016
RESIDENTIAL CARE ELDERLY,197608059,SIERRA BONITA BOARD & CARE FOR THE ELDERLY II,"SIERRA BONITA BOARD & CARE, INC.",SABINA RASULOV,(323) 658-8722,542 NORTH VISTA STREET,LOS ANGELES,CA,90036,LOS ANGELES,28,6,CLOSED,5/1/2011,4/10/2018
RESIDENTIAL CARE ELDERLY,197608060,SIERRA BONITA BOARD & CARE FOR THE ELDERLY III,"SIERRA BONITA BOARD & CARE, INC.",SABINA RASULOV,(323) 782-0169,544 NORTH VISTA STREET,LOS ANGELES,CA,90036,LOS ANGELES,28,6,CLOSED,4/12/2011,4/10/2018
RESIDENTIAL CARE ELDERLY,207203949,SIERRA ESTATES ASSISTED LIVING,"SIERRA ESTATES ASSISTED LIVING, INC.","HAGERMAN, TEENA N.",(559) 642-2022,43613 PATRICK,COARSEGOLD,CA,93614,MADERA,24,12,CLOSED,2/27/2007,5/15/2015
RESIDENTIAL CARE ELDERLY,315001933,SIERRA FOOTHILL RCFE,"KELLY, PAUL","KELLY, PAUL",(916) 740-2844,1229 KASEBERG CIRCLE,ROSEVILLE,CA,95678,PLACER,27,6,LICENSED,8/1/2007,
RESIDENTIAL CARE ELDERLY,315002310,SIERRA FOOTHILL RCFE II,"KELLY, PAUL",GLORIA BRON-SUSBILLA,(916) 740-4793,1008 ZEPHYR COURT,ROSEVILLE,CA,95678,PLACER,27,6,LICENSED,2/8/2011,
RESIDENTIAL CARE ELDERLY,290311983,SIERRA GUEST HOME,RICHARD N. CULLEN,RICHARD CULLEN,(530) 273-3163,131 GLENWOOD AVENUE,GRASS VALLEY,CA,95945,NEVADA,27,15,LICENSED,4/28/1989,
RESIDENTIAL CARE ELDERLY,197608209,SIERRA HILLS HOMECARE,"CANYON HOMECARE, INC.",TAREQ NASRALLAH,(661) 480-9500,16623 NEARVIEW DRIVE,CANYON COUNTRY,CA,91387,LOS ANGELES,31,3,CLOSED,12/7/2011,11/16/2015
RESIDENTIAL CARE ELDERLY,197607640,SIERRA IMMACULATE CONCEPCION HOME,"SIERRA IMMACULATE CONCEPCION HOME, INC.",MYRNA CABALLO,(818) 982-8590,7226 BECK AVE.,NORTH HOLLYWOOD,CA,91605,LOS ANGELES,31,6,CLOSED,2/3/2009,10/15/2015
RESIDENTIAL CARE ELDERLY,90317521,SIERRA MANOR,"JERVISS, LINDA","JERVISS,LINDA",(530) 642-8802,863 DE BERNARDI COURT,PLACERVILLE,CA,95667,EL DORADO,27,15,CLOSED,10/30/1992,11/21/2016
RESIDENTIAL CARE ELDERLY,374601421,SIERRA MESA RCFE,"BEAS, INC.","BEAS, JANNETH",(858) 874-5829,2562 MOONSTONE DRIVE,SAN DIEGO,CA,92123,SAN DIEGO,8,6,CLOSED,8/16/2006,8/20/2015
RESIDENTIAL CARE ELDERLY,455002190,SIERRA OAKS OF REDDING,REDDING NORTH SENIOR LIVING LLC,BOBAN KRISTINE,(530) 241-5100,1580 COLLYER DR,REDDING,CA,96003,SHASTA,25,85,LICENSED,7/12/2010,
RESIDENTIAL CARE ELDERLY,455002191,SIERRA OAKS OF REDDING MEMORY CARE,REDDING NORTH SENIOR LIVING LLC,"BOBAN, KRISTINE",(530) 241-5100,1620 COLLYER DR,REDDING,CA,96003,SHASTA,25,28,LICENSED,7/12/2010,
RESIDENTIAL CARE ELDERLY,107200486,SIERRA PALACE FOR ELDERLY,"PERERA, NEIL","PERERA, NEIL",(559) 435-6345,607 E. SIERRA AVENUE,FRESNO,CA,93710,FRESNO,24,6,LICENSED,2/4/1997,
RESIDENTIAL CARE ELDERLY,107200877,SIERRA PALACE FOR ELDERLY #2,"PERERA, NEIL MANUEL","PERERA, NEIL MANUEL",(559) 435-6345,1492 W. BULLARD,FRESNO,CA,93711,FRESNO,24,6,LICENSED,9/20/1999,
RESIDENTIAL CARE ELDERLY,107206560,SIERRA PALACE FOR THE ELDERLY,NEIL M PERERA,"PERERA, NEIL MANUEL",(559) 375-1917,2060 W. MENLO,FRESNO,CA,93711,FRESNO,24,6,LICENSED,6/13/2012,
RESIDENTIAL CARE ELDERLY,330907858,SIERRA PINE GUEST HOME,JAIME NAZARENO,LAURA NAZARENO,(951) 689-5322,5051 LA SIERRA AVENUE,RIVERSIDE,CA,92505,RIVERSIDE,18,25,CLOSED,1/8/1994,3/1/2017
RESIDENTIAL CARE ELDERLY,336427415,SIERRA PINE GUEST HOME,SIERRA PINE GUEST HOME INC.,"NAZARENO, LAURA",(951) 689-5322,5051 LA SIERRA AVE,RIVERSIDE,CA,92505,RIVERSIDE,18,25,LICENSED,3/1/2017,
RESIDENTIAL CARE ELDERLY,315002050,SIERRA POINTE,AVALON SIERRA POINT LLC; SRG PACIFIC MGMT LLC,STEVEN HARMS,(916) 780-3330,5161 FOOTHILLS BLVD,ROSEVILLE,CA,95747,PLACER,27,140,CLOSED,3/25/2008,2/2/2018
RESIDENTIAL CARE ELDERLY,312700263,SIERRA POINTE,SIERRA POINTE SUBTENANT LP; SRG PACIFIC MGMT LLC,"HARMS, STEVEN",(916) 780-3330,5161 FOOTHILLS BLVD,ROSEVILLE,CA,95747,PLACER,27,140,LICENSED,1/23/2018,
RESIDENTIAL CARE ELDERLY,317004858,SIERRA RIDGE MEMORY CARE,"AUBURN RDGE OP,LP&MILESTONE RETIREMENT COMM LLC","TWITCHELL, DANIELLE",(530) 887-8600,3265 BLUE OAKS DRIVE,AUBURN,CA,95602,PLACER,27,65,CLOSED,8/23/2011,2/13/2015
RESIDENTIAL CARE ELDERLY,317005531,SIERRA RIDGE SENIOR LIVING,"MR CA GP, SIERRA RIDGE OPS; MILESTONE RETIREMENT C","PERKINS, JOYCE",(530) 887-8600,3265 BLUE OAKS DR,AUBURN,CA,95602,PLACER,27,65,LICENSED,2/13/2015,
RESIDENTIAL CARE ELDERLY,197603944,SIERRA ROSE,SIERRA ROSE HOUSING CORPORATION; ABILITYFIRST,"TREVINO, DANIEL",(626) 440-9090,3053 1/2 E DEL MAR BLVD,PASADENA,CA,91107,LOS ANGELES,28,6,LICENSED,3/19/2003,
RESIDENTIAL CARE ELDERLY,295001463,SIERRA VIEW MANOR,"SIERRA VIEW MANOR, LLC","TENNIES, VANESSA LAIDLEY",(530) 273-4849,120 DORSEY DRIVE,GRASS VALLEY,CA,95945,NEVADA,27,58,LICENSED,11/17/2003,
RESIDENTIAL CARE ELDERLY,107203505,SIERRA VILLA REST HOME,"THERAPEUTIC RESIDENTIAL SERVICES, INC.","KUMAR, HARMESH PH.D.",(559) 299-5579,175 W. SIERRA AVE.,CLOVIS,CA,93612,FRESNO,24,49,LICENSED,5/30/2007,
RESIDENTIAL CARE ELDERLY,547201807,SIERRA VILLAGE ASSISTED LIVING,"SIERRA VILLAGE, INC.","PUCKETT, RENATA",(559) 713-1911,73 MOLENSTRAAT,VISALIA,CA,93277,TULARE,24,22,LICENSED,6/9/2004,
RESIDENTIAL CARE ELDERLY,366423475,SIERRA VISTA,EXTENDED CARE PORTFOLIO CA TNNT; NORTHSTAR SR LVG,"GONZALES, MARIA I",(760) 243-2271,13815 RODEO DR,VICTORVILLE,CA,92395,SAN BERNARDINO,18,63,LICENSED,10/30/2008,
RESIDENTIAL CARE ELDERLY,157200859,SIERRA VISTA RESORT,"REUTTER, LORRAINE & WALDMAN, DEBRA","WALDMAN, DEBRA",(661) 821-6616,22980 SAN JUAN,TEHACHAPI,CA,93561,KERN,24,6,CLOSED,5/18/1999,10/30/2019
RESIDENTIAL CARE ELDERLY,157209012,SIERRA VISTA RESORT,"WALDMAN, DEBRA M & REUTTER, LORRAINE","WALDMAN, DEBRA M",(661) 342-0258,30050 GARCES CT,TEHACHAPI,CA,93561,KERN,24,6,LICENSED,10/28/2019,
RESIDENTIAL CARE ELDERLY,198602166,SIESTA ASSISTED LIVING,SIESTA ASSISTED LIVING INC.,"MORENO, FRANCISCO",(626) 642-7409,163 N PASADENA AVENUE,AZUSA,CA,91702,LOS ANGELES,28,6,LICENSED,9/6/2016,
RESIDENTIAL CARE ELDERLY,342700587,SIGNATURE LIVING ON LAVELLI WAY,"SIGNATURE LIVING ON LAVELLI WAY, LLC","ENERO, EDGAR",(916) 812-0944,10125 LAVELLI WAY,ELK GROVE,CA,95757,SACRAMENTO,27,6,LICENSED,9/26/2019,
RESIDENTIAL CARE ELDERLY,312700709,SIGNATURE LIVING ON MILLPORT DRIVE,SIGNATURE LIVING ON MILLPORT DRIVE LLC,"KRIEG, NERRYROSE",(916) 719-8001,7641 MILLPORT DRIVE,ROSEVILLE,CA,95678,PLACER,27,6,LICENSED,1/21/2020,
RESIDENTIAL CARE ELDERLY,342700338,SIGNATURE LIVING ON STORY RIDGE WAY,SIGNATURE LIVING ON STORY RIDGE WAY LLC,"RIMANDO, NORA",(916) 300-5363,8400 STORY RIDGE WAY,ANTELOPE,CA,95843,SACRAMENTO,27,6,LICENSED,10/29/2018,
RESIDENTIAL CARE ELDERLY,342700588,SIGNATURE LIVING ON WINDING WAY,"SIGNATURE LIVING ON WINDING WAY, LLC","AFABLE, SCOTT",(916) 812-0944,6258 WINDING WAY,CARMICHAEL,CA,95608,SACRAMENTO,27,6,LICENSED,10/29/2019,
RESIDENTIAL CARE ELDERLY,342700777,SIGNATURE LIVING ON WINDING WAY II,"SIGNATURE LIVING ON WINDING WAY II, LLC","AFABLE, SCOTT",(916) 812-0944,6270 WINDING WAY,CARMICHAEL,CA,95608,SACRAMENTO,27,6,PENDING,,
RESIDENTIAL CARE ELDERLY,347005733,SIGNATURE LIVING RCFE,SIGNATURE LIVING LLC,"ENERO,EDGAR",(916) 346-4128,7315 POCKET ROAD,SACRAMENTO,CA,95831,SACRAMENTO,27,6,LICENSED,10/11/2016,
RESIDENTIAL CARE ELDERLY,306005499,"SIGNATURE RESIDENCE, INC. THE","SIGNATURE RESIDENCE, INC. THE","FARIS, KOLALEH",(949) 220-1412,2727 WAVECREST DR,CORONA DEL MAR,CA,92625,ORANGE,22,6,LICENSED,12/20/2018,
RESIDENTIAL CARE ELDERLY,435202670,SILICON VALLEY SENIOR CARE HOME,"LADWIG, LLC","LADWIG, JUVELYN IRISH",(408) 677-4405,5255 RAFTON DR,SAN JOSE,CA,95124,SANTA CLARA,26,6,LICENSED,12/27/2018,
RESIDENTIAL CARE ELDERLY,197609021,SILIK RESIDENTIAL CARE OF VALLEY VILLAGE,SILIK GROUP HOMES INC,"SAMALA, FRANCIS",(760) 464-3330,5720 GENTRY AVE,VALLEY VILLAGE,CA,91607,LOS ANGELES,31,6,CLOSED,2/3/2017,6/23/2017
RESIDENTIAL CARE ELDERLY,366426470,SILLANO HOME CARE,"SILLANO HOME CARE., LLC",MARIE PAZ Z. SILLANO,(909) 320-7450,6973 SPRINGTIME AVE.,FONTANA,CA,92336,SAN BERNARDINO,18,4,CLOSED,10/30/2014,5/25/2016
RESIDENTIAL CARE ELDERLY,19200802,SILOAM ASSISTED LIVING,ELIM SENIOR SERVICES LLC,"TET, ALEXANDRU",(510) 919-4380,18825 CARLTON AVE,CASTRO VALLEY,CA,94546,ALAMEDA,15,2,CLOSED,,7/22/2019
RESIDENTIAL CARE ELDERLY,496802047,SILVA BOARD AND CARE,"TRINIDAD, JOEL","TRINIDAD, JOEL",(707) 542-3500,1130 SILVA AVE,SANTA ROSA,CA,95404,SONOMA,21,6,LICENSED,5/9/2007,
RESIDENTIAL CARE ELDERLY,342700324,SILVANA HOME CARE,SILVANA SENIOR CARE INC,"IVASCU, KRISZTINA",(916) 586-4713,4415 ROLLINGROCK WAY,CARMICHAEL,CA,95608,SACRAMENTO,27,6,CLOSED,4/12/2018,10/2/2019
RESIDENTIAL CARE ELDERLY,312700676,SILVANA SENIOR CARE,"SILVANA SENIOR CARE, INC.",KRISZTINA SILVANA IVASCU,(916) 586-4713,4748 ROBIN CT,ROCKLIN,CA,95677,PLACER,27,6,LICENSED,10/2/2019,
RESIDENTIAL CARE ELDERLY,312700732,SILVANA SENIOR CARE,"SILVANA SENIOR CARE, INC.","IVASCU, KRISZTINA SILVANA",(916) 824-2015,1041 AUDREY WAY,ROSEVILLE,CA,95661,PLACER,27,6,PENDING,,
RESIDENTIAL CARE ELDERLY,315001870,SILVER AGE VILLA,"PARVU, TUDOR","PARVU, TUDOR",(916) 663-1653,6840 CHILI HILL ROAD,NEWCASTLE,CA,95658,PLACER,27,6,CLOSED,7/10/2006,5/22/2019
RESIDENTIAL CARE ELDERLY,197607469,SILVER AND GRAY RETREATS,SILVER AND GRAY HOME CARE LLC,GLENDA BUSTOS,(424) 206-2292,27102 INDIAN PEAK ROAD,RANCHO PALOS VERDES,CA,90274,LOS ANGELES,11,6,CLOSED,6/13/2008,7/24/2017
RESIDENTIAL CARE ELDERLY,435202025,SILVER CREEK SENIOR LIVING,AVALON SILVER CREEK LLC;SUNRISE SENIOR LIV MGT INC,"GERSON, ELYSE",(408) 223-1312,4855 SAN FELIPE RD,SAN JOSE,CA,95135,SANTA CLARA,26,140,CLOSED,11/29/2007,10/9/2017
RESIDENTIAL CARE ELDERLY,197609096,SILVER HILL SENIOR CARE INC,SILVER HILL SENIOR CARE INC,"SARKISIAN, VIVIAN V",(818) 429-7567,10245 LOUISE AVENUE,NORTHRIDGE,CA,91325,LOS ANGELES,31,6,CLOSED,11/8/2017,7/24/2018
RESIDENTIAL CARE ELDERLY,336409389,SILVER HILLS HOME CARE,MADALINA ROTAR,MADALINA ROTAR,(951) 789-4667,7891 SILVER HILLS DR,"RIVERSIDE,",CA,92506,RIVERSIDE,18,2,LICENSED,5/20/2005,
RESIDENTIAL CARE ELDERLY,425800609,SILVER HILLS RCFE,"SEPULVEDA, ALFONSITO D. & JOVINA C.",ALAN SEPULVEDA,(805) 348-1809,501 GARNET WAY,SANTA MARIA,CA,93454,SANTA BARBARA,29,6,LICENSED,4/11/2001,
RESIDENTIAL CARE ELDERLY,547208956,SILVER HOUSE ASSISTED LIVING,"GARDINER, RACHAEL","GARDINER, RACHAEL",(559) 936-2891,4439 W HAROLD AVE,VISALIA,CA,93291,TULARE,24,6,LICENSED,8/14/2019,
RESIDENTIAL CARE ELDERLY,507001553,SILVER LEAF VILLA,ZELDA BORTON,ZELDA BORTON,(209) 529-3883,3117 LONDONDERRY ROAD,MODESTO,CA,95350,STANISLAUS,27,6,CLOSED,3/1/2001,5/2/2016
RESIDENTIAL CARE ELDERLY,347005744,SILVER LINING CARE HOME,SILVER LINING CARE HOME LLC,EVELINA AND PAVEL MAGUREAN,(916) 241-9186,8189 PLUMERIA AVENUE,FAIR OAKS,CA,95628,SACRAMENTO,27,6,LICENSED,12/23/2016,
RESIDENTIAL CARE ELDERLY,347005447,SILVER LINING CARE HOME,SILVER LINING CARE HOME,HELEN P SARDO,(916) 479-9191,8538 KRANS COURT,ANTELOPE,CA,95843,SACRAMENTO,27,6,LICENSED,10/14/2014,
RESIDENTIAL CARE ELDERLY,306004603,SILVER LINING MANOR,LACY FADDOUL,LACY FADDOUL,(714) 999-9974,2116 W. CRONE AVENUE,ANAHEIM,CA,92804,ORANGE,22,6,CLOSED,5/1/2014,6/8/2018
RESIDENTIAL CARE ELDERLY,306005494,SILVER LINING MANOR,LACY FADDOUL,"FADDOUL, LACY",(949) 682-5229,425 ARCHER ST,ANAHEIM,CA,92804,ORANGE,22,6,LICENSED,6/8/2018,
RESIDENTIAL CARE ELDERLY,306005453,SILVER LINING RESIDENTIAL CARE,SILVER LINING RESIDENTIAL CARE INC,"FADDOUL, LACY",(661) 810-7293,1243 N. BROOKHURST STREET,ANAHEIM,CA,92801,ORANGE,22,14,LICENSED,4/24/2018,
RESIDENTIAL CARE ELDERLY,336427244,SILVER LIVING HOME CARE,SILVER LIVING HOME CARE LLC,"CANDIDATO, FLORINA",(951) 653-7004,22590 TEMCO ST,MORENO VALLEY,CA,92553,RIVERSIDE,18,6,LICENSED,10/12/2015,
RESIDENTIAL CARE ELDERLY,336426347,SILVER MOON ASSISTED LIVING,APRIL GERONIMO,APRIL GERONIMO,(951) 926-0570,35681 SILVERWEED ROAD,MURRIETA,CA,92563,RIVERSIDE,18,6,LICENSED,8/3/2015,
RESIDENTIAL CARE ELDERLY,331880668,SILVER MOON ASSISTED LIVING 2,SENIOR CARE SPECIALISTS LLC,"HOBBS, ANGELINE",(951) 325-8291,35543 ATHENA CT,WINCHESTER,CA,92596,RIVERSIDE,18,6,LICENSED,3/28/2019,
RESIDENTIAL CARE ELDERLY,490103714,SILVER OAK,"COLE, PAUL","COLE, DAVID",(707) 833-6439,1175 LAWNDALE ROAD,KENWOOD,CA,95452,SONOMA,21,6,LICENSED,5/12/1982,
RESIDENTIAL CARE ELDERLY,374602670,SILVER OAK COUNTRY ESTATES I,SILVER OAK COUNTRY ESTATES INC.,"ECKERT, LORENA",(760) 415-8216,138 SUN VILLA COURT,VISTA,CA,92084,SAN DIEGO,8,6,CLOSED,3/20/2008,7/26/2018
RESIDENTIAL CARE ELDERLY,374602671,SILVER OAK COUNTRY ESTATES II,SILVER OAK COUNTRY ESTATES INC.,"ECKERT, LORENA",(760) 415-8216,146 SUN VILLA COURT,VISTA,CA,92084,SAN DIEGO,8,6,CLOSED,3/20/2008,7/26/2018
RESIDENTIAL CARE ELDERLY,374602754,SILVER OAK COUNTRY ESTATES III,SILVER OAK COUNTRY ESTATES INC,LORENA ECKERT,(760) 415-8216,143 SUN VILLA CT,VISTA,CA,92084,SAN DIEGO,8,6,CLOSED,7/25/2008,7/26/2018
RESIDENTIAL CARE ELDERLY,415601052,SILVER OAKS,FOX OPS LLC; CALSON MANAGEMENT LLC,"RUBIO, NANCY",(707) 592-1157,16 COLEMAN PLACE,MENLO PARK,CA,94025,SAN MATEO,14,43,LICENSED,7/5/2019,
RESIDENTIAL CARE ELDERLY,374604071,SILVER OAKS COUNTRY ESTATES I,SILVER OAK COUNTRY ESTATES LLC,"ECKERT, LORENA",(760) 415-8216,138 SUN VILLA COURT,VISTA,CA,92084,SAN DIEGO,8,6,LICENSED,7/26/2018,
RESIDENTIAL CARE ELDERLY,374604072,SILVER OAKS COUNTRY ESTATES II,SILVER OAK COUNTRY ESTATES LLC,"ECKERT, LORENA",(760) 415-8216,146 SUN VILLA COURT,VISTA,CA,92084,SAN DIEGO,8,6,LICENSED,7/26/2018,
RESIDENTIAL CARE ELDERLY,374604073,SILVER OAKS COUNTRY ESTATES III,SILVER OAK COUNTRY ESTATES LLC,HENRY SHOWAH,(760) 415-8216,143 SUN VILLA COURT,VISTA,CA,92084,SAN DIEGO,8,6,LICENSED,7/26/2018,
RESIDENTIAL CARE ELDERLY,65002547,SILVER OAKS MANOR,"DALTRAC, LLC","MARFIL, SHANTA",(530) 473-5906,282 10TH STREET,WILLIAMS,CA,95987,COLUSA,25,15,CLOSED,8/5/2014,6/28/2016
RESIDENTIAL CARE ELDERLY,342700236,SILVER OAKS SENIOR LIVING,SILVER OAKS SENIOR LIVING,"MASSOTH, STEPHANIE",(916) 764-8628,2517 GUNN ROAD,CARMICHAEL,CA,95608,SACRAMENTO,27,6,LICENSED,5/17/2018,
RESIDENTIAL CARE ELDERLY,342700337,SILVER OAKS SENIOR LIVING II,SILVER OAKS SENIOR LIVING,"MASSOTH, STEPANIE",(916) 764-8628,4920 STEAMERS LANE,CARMICHAEL,CA,95608,SACRAMENTO,27,6,CLOSED,,3/26/2018
RESIDENTIAL CARE ELDERLY,374603380,"SILVER OAKS, SOUTH","ONE KIRKHAM PARKWAY, LLC.",BRENDA GILKEY,(858) 663-2121,12277 BEREA CT,POWAY,CA,92064,SAN DIEGO,8,6,CLOSED,6/7/2013,4/1/2018
RESIDENTIAL CARE ELDERLY,347005224,"SILVER PINE CARE HOME, LLC.","SILVER PINE CARE HOME I, LLC.","LOESCH, DEBBIE",(916) 308-2968,4831 MERLE COURT,SACRAMENTO,CA,95841,SACRAMENTO,27,6,CLOSED,,11/21/2015
RESIDENTIAL CARE ELDERLY,342700133,SILVER PINES CARE HOME I LLC,SILVER PINES CARE HOME I LLC,"LOESCH, DEBBIE",(916) 686-1936,8625 HUME COURT,ELK GROVE,CA,95624,SACRAMENTO,27,6,LICENSED,10/26/2017,
RESIDENTIAL CARE ELDERLY,342700530,"SILVER PINES CARE HOME II, LLC","SILVER PINES CARE HOME II, LLC","LOESCH, DEBBIE",(916) 308-2968,8717 VALLEY OAK LANE,ELK GROVE,CA,95624,SACRAMENTO,27,6,LICENSED,8/19/2019,
RESIDENTIAL CARE ELDERLY,415600884,"SILVER POINT PLAZA, INC.","SILVER POINT PLAZA, INC.","RINGO, IVAH VANESSA C.",(408) 623-7058,16 COLEMAN PLACE,MENLO PARK,CA,94025,SAN MATEO,14,43,CLOSED,8/15/2014,7/6/2019
RESIDENTIAL CARE ELDERLY,197803538,SILVER RAIN HOME CARE,STONEGATE CORPORATION,EUGENE ALANGUI,(909) 861-3438,1707 SILVER RAIN DR.,DIAMOND BAR,CA,91765,LOS ANGELES,28,6,LICENSED,9/10/2001,
RESIDENTIAL CARE ELDERLY,496803499,SILVER STAR,SILVER STAR INC,"KUMAR, AMI",(707) 595-3605,1966 DENNIS LANE,SANTA ROSA,CA,95403,SONOMA,21,6,LICENSED,5/23/2014,
RESIDENTIAL CARE ELDERLY,374602001,SILVER TREE VILLA,"ARABSHAHI, MOHAMMAD",MOHAMMAD ARABSHAHI,(760) 739-8393,1592 SILVER TREE LN,ESCONDIDO,CA,92026,SAN DIEGO,8,6,LICENSED,6/29/2005,
